Make,Model,produce year,Color,fuel Type,gear Type,eng power,distance,Origin,Ad data push,price
Peugeot,308,2011,Silver ,Petrol ,Automatic,1600,35000,private ,21/09/2016,56000
Hyundai,Elantra,2011,White ,Petrol ,Automatic,1600,35000,private ,24/09/2016,78000
Fiat,Uno,1990,Black ,Petrol ,manuel,1000,35000,Rental ,24/09/2016,19000
Hyundai,Accent,2013,Ferrani ,Petrol ,Automatic,1400,35000,private ,24/09/2016,69000
Hyundai,Accent,2014,Silver ,Petrol ,Automatic,1400,35000,private ,25/09/2016,75000
Hyundai,Tucson,2013,Gray ,Diesel ,Automatic,2000,35000,private ,26/09/2016,94000
BMW,328i sport line black edition,2014,Black Metallic ,Petrol ,Automatic,2000,36000,private ,22/09/2016,220000
Hyundai,Accent,2013,Silver ,Petrol ,Automatic,1400,37000,private ,20/09/2016,68000
Skoda,Yeti,2013,Blue Cyan ,Petrol ,Automatic,1200,37000,private ,24/09/2016,110000
Skoda,Octavia,2014,Black Metallic ,Diesel ,Automatic,2000,37000,private ,25/09/2016,119000
Kia,Cerato,2014,Black Metallic ,Petrol ,Automatic,1600,37000,private ,25/09/2016,83000
Hyundai,i30,2013,White Ivory ,Petrol ,Automatic,1600,38000,private ,25/09/2016,83000
Volkswagen,Tiguan,2013,Brown ,Petrol ,Automatic,2000,38000,private ,26/09/2016,175000
VW,Polo,2015,White Ivory ,Petrol ,manuel,1600,39000,private ,20/09/2016,64500
Skoda,Rapid,2013,Silver ,Diesel ,manuel,1600,39000,private ,22/09/2016,85000
Kia,Sportage,2011,Red ,Diesel ,Automatic,2000,40000,private ,20/09/2016,120000
Hyundai,Accent,2013,Silver ,Diesel ,Automatic,1600,40000,private ,21/09/2016,72000
Skoda,Superb,2013,grey R ,Diesel ,Automatic,2000,40000,private ,21/09/2016,145000
Hyundai,Accent,2013,White ,Petrol ,Automatic,1400,40000,private ,21/09/2016,68000
Mercedes,C200,2010,Black ,Petrol ,Automatic,2000,40000,private ,22/09/2016,130000
Peugeot,206+,2012,Red ,Petrol ,manuel,1400,40000,private ,22/09/2016,45000
Hyundai,Accent,2012,Ferrani ,Petrol ,manuel,1600,40000,private ,24/09/2016,68000
Opel,Corsa,2014,Black ,Petrol ,manuel,1400,40000,private ,24/09/2016,61000
VW,Polo,2015,Residential ,Petrol ,manuel,1250,40000,private ,25/09/2016,70000
Hyundai,ix35,2012,White Ivory ,Petrol ,Automatic,2000,40000,private ,25/09/2016,100000
Kia,Rio,2013,Ferrani ,Petrol ,Automatic,1400,40000,private ,26/09/2016,61500
Hyundai,i20,2013,Black ,Petrol ,Automatic,1400,40000,private ,26/09/2016,70000
Mitsubishi,Space Star,2015,Blue ,Petrol ,Automatic,1200,40000,private ,26/09/2016,68000
VW,Golf,2012,grey R ,Petrol ,Automatic,1200,41000,private ,21/09/2016,90000
Hyundai,Accent,2014,White ,Diesel ,Automatic,1600,41000,private ,25/09/2016,76000
Skoda,Octavia,2013,White ,Diesel ,manuel,1600,42000,private ,21/09/2016,100000
Skoda,Fabia,2007,White ,Diesel ,manuel,2000,43000,Taxi ,24/09/2016,43000
Hyundai,Accent,2014,White ,Diesel ,Automatic,1600,43400,private ,20/09/2016,67000
Hyundai,Accent,2014,White ,Diesel ,Automatic,1600,43500,private ,25/09/2016,67500
Citroen,Berlingo,2014,Blue ,Diesel ,manuel,1600,44000,private ,24/09/2016,97000
Kia,Soul,2010,Red ,Petrol ,Automatic,1600,44000,private ,26/09/2016,62000
Rover,s400,1996,White Ivory ,Petrol ,manuel,1600,44444,private ,20/09/2016,19000
VW,Caddy,2014,grey R ,Diesel ,manuel,1600,45000,private ,21/09/2016,115000
Hyundai,i30,2012,White ,Petrol ,Automatic,1600,45000,private ,21/09/2016,83500
Peugeot,207,2012,Blue Cyan ,Petrol ,Automatic,1600,45000,private ,21/09/2016,58000
Chevrolet,Optra,2008,Red ,Petrol ,Automatic,1600,45000,private ,21/09/2016,41500
Rover,s75,2000,Oily Color ,Petrol ,Automatic,2000,45000,private ,25/09/2016,45000
Peugeot,206+,2011,Ferrani ,Petrol ,manuel,1400,47000,private ,20/09/2016,42000
Skoda,Octavia,2013,Blue ,Petrol ,Automatic,1400,47000,private ,22/09/2016,125000
Citroen,C5,2013,Golden ,Petrol ,Automatic,1600,47000,private ,30/09/2016,110000
VW,Caddy,2013,White ,Diesel ,manuel,1600,48000,private ,24/09/2016,110000
Skoda,Rapid,2012,بترولي ,Diesel ,manuel,1600,48000,private ,25/09/2016,84000
Hyundai,Accent,2013,Silver ,Petrol ,Automatic,1400,49000,private ,24/09/2016,72000
VW,Golf,2015,Ferrani ,Petrol ,Automatic,1400,49000,private ,25/09/2016,120000
Ford,Fiesta,2012,Black ,Petrol ,manuel,1250,50000,private ,20/09/2016,55000
Ford,Fiesta,2013,Blue ,Petrol ,manuel,1250,50000,private ,21/09/2016,52000
Hyundai,2008,2008,Black ,Petrol ,manuel,1900,50000,private ,22/09/2016,59000
Seat,Ibiza,2014,White Ivory ,Petrol ,Automatic,1400,50000,private ,25/09/2016,95000
Opel,Corsa,2013,Silver ,Petrol ,manuel,1400,50000,private ,25/09/2016,55000
Volvo,Fl614,1992,White Ivory ,Diesel ,manuel,1800,50000,Commercial ,26/09/2016,75000
Skoda,Felicia,2000,White Ivory ,Diesel ,manuel,1600,52000,Commercial ,25/09/2016,30000
Peugeot,308,2011,Ferrani ,Petrol ,Automatic,1600,52200,private ,27/09/2016,56000
Opel,Corsa,2013,Gray ,Petrol ,manuel,1400,53000,private ,01/10/2016,57500
Hyundai,Tucson,2009,Black ,Diesel ,manuel,2000,54000,private ,22/09/2016,65000
Citroen,Berlingo,2013,White Ivory ,Diesel ,manuel,1600,55000,private ,21/09/2016,85000
Hyundai,i25,2013,White ,Diesel ,manuel,1600,55000,private ,22/09/2016,78000
VW,Touran,2014,Residential ,Diesel ,Automatic,1600,55000,private ,21/09/2016,119000
Hyundai,Accent,2013,White ,Petrol ,Automatic,1400,55000,private ,22/09/2016,75000
Opel,Corsa,2014,White ,Petrol ,manuel,1400,55000,private ,22/09/2016,62000
Mercedes,C250,2013,Black Metallic ,Petrol ,Automatic,1800,55000,private ,24/09/2016,169000
Hyundai,Tucson,2013,Residential ,Diesel ,Automatic,2000,55000,private ,24/09/2016,105000
Skoda,Octavia,2009,White ,Diesel ,manuel,1900,56000,Taxi ,25/09/2016,67000
VW,Polo,2014,Ferrani ,Petrol ,manuel,1200,57000,private ,20/09/2016,70000
Mercedes,C200,2007,White Ivory ,Diesel ,Automatic,2000,58734,Taxi ,22/09/2016,62000
Kia,Sportage,2012,Ferrani ,Diesel ,Automatic,1995,59000,private ,20/09/2016,110000
VW,Caddy,2013,White ,Diesel ,manuel,1600,59000,private ,22/09/2016,115000
Citroen,Berlingo,2014,Blue ,Petrol ,manuel,1600,59921,private ,26/09/2016,82900
Peugeot,Partner,2014,Blue ,Diesel ,manuel,1600,59921,private ,26/09/2016,82900
Ford,Fiesta,2012,Blue ,Petrol ,manuel,1250,60000,private ,21/09/2016,51000
Chevrolet,Traverse,2011,Black Metallic ,Petrol ,Automatic,3600,60000,private ,22/09/2016,190000
Seat,Cordoba,2008,White Ivory ,Diesel ,manuel,1900,60000,Taxi ,22/09/2016,43000
VW,Polo,2014,Residential ,Petrol ,manuel,1200,60000,private ,26/09/2016,72000
VW,Caddy,2013,Residential ,Diesel ,manuel,1600,60000,private ,26/09/2016,1111
Nissan,Juke,2012,Blue ,Petrol ,Automatic,1600,60000,private ,03/01/2017,89000
Kia,Pride,2008,Silver ,Petrol ,Automatic,1600,62000,private ,24/09/2016,49000
Opel,Corsa,2013,White Ivory ,Petrol ,manuel,1400,62000,private ,24/09/2016,59000
Hyundai,Accent,2013,Black Metallic ,Petrol ,Automatic,1400,62000,private ,26/09/2016,66000
Ford,Focus,2012,Blue ,Petrol ,manuel,1600,62500,private ,27/09/2016,73500
Hyundai,Tucson,2013,Silver ,Diesel ,Automatic,1995,63000,private ,24/09/2016,110000
Hyundai,Tucson,2013,Residential ,Diesel ,Automatic,2000,63000,private ,26/09/2016,95500
Chevrolet,Malibu,2008,عدة الوان ,Petrol ,Automatic,3500,64000,private ,21/09/2016,75000
BMW,325,2006,Black ,Petrol ,Automatic,2500,65000,private ,21/09/2016,110000
Hyundai,i10,2012,Silver ,Petrol ,manuel,1100,65000,private ,24/09/2016,45000
Hyundai,Tucson,2013,Silver ,Diesel ,Automatic,2000,65000,private ,01/10/2016,115000
Mercedes,C220,2011,White Ivory ,Diesel ,Automatic,2200,68000,private ,25/09/2016,148000
Ford,Fiesta,2013,Silver ,Petrol ,manuel,1250,68500,private ,27/09/2016,54000
Kia,Pride,2007,Black ,Petrol ,Automatic,1600,69000,private ,25/09/2016,47500
VW,Polo,2008,Ferrani ,Petrol ,manuel,1400,69000,private ,26/09/2016,52000
VW,Polo,2012,White ,Petrol ,manuel,1400,70000,private ,20/09/2016,75000
Ford,Fiesta,2012,Residential ,Petrol ,Automatic,1400,70000,private ,20/09/2016,57000
Skoda,Octavia,2013,Brown ,Diesel ,manuel,1600,70000,private ,20/09/2016,98000
Kia,Soul,2013,Ivory ,Diesel ,Automatic,1600,70000,private ,20/09/2016,70000
Kia,Soul,2013,Black Metallic ,Diesel ,Automatic,1600,70000,private ,21/09/2016,77000
Opel,Astra,2003,Silver ,Diesel ,manuel,1900,70000,private ,21/09/2016,45000
Ford,Fiesta,2012,Blue Cyan ,Petrol ,manuel,1250,70000,private ,25/09/2016,50000
Kia,Sportage,2013,Residential ,Diesel ,Automatic,2000,70000,private ,25/09/2016,112000
Honda,Civic,2008,Gray ,Petrol ,Automatic,1800,70000,private ,25/09/2016,56000
Kia,Optima,2012,Black ,Petrol ,Automatic,2000,70000,private ,26/09/2016,92000
Peugeot,301,2013,grey R ,Diesel ,manuel,1600,70000,private ,26/09/2016,75000
VW,Touran,2011,Ferrani ,Petrol ,Automatic,1600,70000,private ,27/09/2016,100000
Kia,Sayed,2013,بترولي ,Petrol ,Automatic,1600,71000,private ,24/09/2016,86000
Peugeot,Partner,2014,White ,Diesel ,manuel,1600,71000,private ,26/09/2016,92000
Ford,Focus,2013,White ,Petrol ,Automatic,1600,72000,private ,21/09/2016,68000
Kia,Optima,2013,Black ,Petrol ,Automatic,2000,72000,private ,24/09/2016,93000
Hyundai,Accent,2012,grey R ,Diesel ,Automatic,1600,73000,private ,21/09/2016,73000
VW,Transporter,2013,White ,Diesel ,manuel,2000,73000,private ,22/09/2016,155000
BMW,318,2002,Red ,Petrol ,Automatic,2000,75000,private ,20/09/2016,70500
Mercedes,Sprinter,1998,White ,Diesel ,manuel,3000,75000,private ,21/09/2016,53000
Isuzu,Trooper,2000,White ,Diesel ,manuel,4800,75000,Commercial ,21/09/2016,55000
Mercedes,814,1999,White ,Diesel ,manuel,4800,75000,Commercial ,21/09/2016,40000
Nissan,Tiida,2012,Black Metallic ,Petrol ,Automatic,1600,75000,private ,21/09/2016,75000
Hyundai,Avante,2005,grey R ,Petrol ,Automatic,1600,75000,private ,22/09/2016,37000
Audi,80,1982,White ,Petrol ,manuel,1600,75000,private ,24/09/2016,18000
Ford,Ford Turnzi,2006,White Ivory ,Diesel ,manuel,2500,75000,private ,24/09/2016,950000
Skoda,Octavia,2008,Black ,Diesel ,Automatic,1900,75000,private ,24/09/2016,85000
Daewoo,Matiz,2001,White ,Petrol ,manuel,900,75000,private ,24/09/2016,16000
Hyundai,Verna,2008,Black Metallic ,Petrol ,Automatic,1400,75000,private ,25/09/2016,49000
VW,Touran,2011,Ferrani ,Diesel ,Automatic,1600,75000,private ,26/09/2016,900000
Opel,Vectra,1997,Black Metallic ,Petrol ,manuel,2000,75501,private ,21/09/2016,27000
Peugeot,508,2011,Black Metallic ,Petrol ,Automatic,1600,76000,private ,22/09/2016,85000
Peugeot,405,1991,Green ,Petrol ,manuel,1600,76576,private ,20/09/2016,22000
Hyundai,Tucson,2009,Black ,Diesel ,Automatic,2000,77000,private ,20/09/2016,82000
Hyundai,Santaver,2009,Silver ,Diesel ,Automatic,2200,77000,private ,24/09/2016,88000
Ford,Focus,2012,Gray ,Petrol ,Automatic,1600,78000,private ,25/09/2016,67000
Ford,Focus,2013,Silver ,Petrol ,Automatic,1600,78500,private ,24/09/2016,730000
Kia,Forte,2008,Black Metallic ,Petrol ,Automatic,1600,79000,private ,21/09/2016,58000
Ford,Focus,2011,Blue Cyan ,Petrol ,Automatic,1600,80000,private ,20/09/2016,55000
